Experiment,Rep_Exp,Phe_Int,SD_Phe,coeff_var,Conc_est,SD_est,coef_var_conc,Current,Range_Cur,source
a,1,0,0,NA,0,0,NA,13.40909091,4.5,classic
a,10,0,0,NA,0,0,NA,13.44545455,4.7,classic
a,2,0,0,NA,0,0,NA,13.63636364,4.6,classic
a,3,0,0,NA,0,0,NA,13.44545455,4.7,classic
a,4,0,0,NA,0,0,NA,14.03636364,5,classic
a,5,0,0,NA,0,0,NA,13.65454545,4.8,classic
a,6,0,0,NA,0,0,NA,13.62727273,4.2,classic
a,7,0,0,NA,0,0,NA,13.44545455,4.8,classic
a,8,0,0,NA,0,0,NA,13.69090909,4.7,classic
a,9,0,0,NA,0,0,NA,13.8,4.6,classic
b,1,0,0,NA,0,0,NA,165.7363636,0.7,classic
b,10,0,0,NA,0,0,NA,166.1272727,1.2,classic
b,2,0,0,NA,0,0,NA,165.3454545,0.6,classic
b,3,0,0,NA,0,0,NA,165.5727273,0.4,classic
b,4,0,0,NA,0,0,NA,165.5,0.7,classic
b,5,0,0,NA,0,0,NA,165.3818182,1.2,classic
b,6,0,0,NA,0,0,NA,165.6181818,1,classic
b,7,0,0,NA,0,0,NA,165.9727273,0.6,classic
b,8,0,0,NA,0,0,NA,166.2272727,1.9,classic
b,9,0,0,NA,0,0,NA,165.1818182,0.7,classic
c,1,0,0,NA,0,0,NA,25.61818182,0.5,classic
c,10,0,0,NA,0,0,NA,25.81818182,0.3,classic
c,2,0,0,NA,0,0,NA,25.65454545,0.6,classic
c,3,0,0,NA,0,0,NA,25.61818182,0.4,classic
c,4,0,0,NA,0,0,NA,25.76363636,0.5,classic
c,5,0,0,NA,0,0,NA,25.70909091,0.9,classic
c,6,0,0,NA,0,0,NA,25.61818182,0.5,classic
c,7,0,0,NA,0,0,NA,25.73636364,0.5,classic
c,8,0,0,NA,0,0,NA,25.91818182,0.7,classic
c,9,0,0,NA,0,0,NA,25.8,0.5,classic
d,1,0,0,NA,0,0,NA,25.75454545,1.4,classic
d,10,0,0,NA,0,0,NA,25.6,0.5,classic
d,2,0,0,NA,0,0,NA,25.82727273,0.4,classic
d,3,0,0,NA,0,0,NA,25.69090909,1.2,classic
d,4,0,0,NA,0,0,NA,25.8,0.3,classic
d,5,0,0,NA,0,0,NA,25.75454545,0.5,classic
d,6,0,0,NA,0,0,NA,25.73636364,0.6,classic
d,7,0,0,NA,0,0,NA,25.79090909,1.4,classic
d,8,0,0,NA,0,0,NA,25.5,0.6,classic
d,9,0,0,NA,0,0,NA,25.64545455,0.4,classic
e,1,0,0,NA,0,0,NA,164.0090909,0.4,classic
e,10,0,0,NA,0,0,NA,165.8636364,0.7,classic
e,2,0,0,NA,0,0,NA,165.9,1.7,classic
e,3,0,0,NA,0,0,NA,166.8636364,1.5,classic
e,4,0,0,NA,0,0,NA,165.4636364,1.5,classic
e,5,0,0,NA,0,0,NA,165.1090909,0.8,classic
e,6,0,0,NA,0,0,NA,164.5,1.6,classic
e,7,0,0,NA,0,0,NA,164.8454545,0.5,classic
e,8,0,0,NA,0,0,NA,164.4727273,0.9,classic
e,9,0,0,NA,0,0,NA,164.6636364,1.4,classic
f,1,0,0,NA,0,0,NA,168.6636364,1.2,classic
f,10,0,0,NA,0,0,NA,164.1,1.6,classic
f,2,0,0,NA,0,0,NA,167.0545455,1.2,classic
f,3,0,0,NA,0,0,NA,166.4818182,0.9,classic
f,4,0,0,NA,0,0,NA,165.7818182,1,classic
f,5,0,0,NA,0,0,NA,165.8363636,0.6,classic
f,6,0,0,NA,0,0,NA,169.9090909,0.8,classic
f,7,0,0,NA,0,0,NA,170.7636364,0.6,classic
f,8,0,0,NA,0,0,NA,165.0272727,0.5,classic
f,9,0,0,NA,0,0,NA,163.8727273,1.7,classic
g,1,480.0909091,410.720697,0.855506091,127.7148662,82.21146305,0.643710991,165.1818182,0.5,classic
g,10,507.7272727,442.1126759,0.870768028,132.8006849,91.42610496,0.688446035,170.2818182,0.7,classic
g,2,377.3636364,142.8931578,0.378661705,107.8929091,34.47260257,0.319507583,164.6636364,1.2,classic
g,3,677.5454545,342.3811805,0.505325773,175.7427319,70.93485645,0.403628962,168.3,3.3,classic
g,4,1132.363636,792.8846414,0.7002032,258.081174,135.5891048,0.525373869,172.4818182,0.9,classic
g,5,609.1818182,293.1671258,0.481247334,161.1224464,64.2331343,0.398660371,174.6363636,0.6,classic
g,6,575.8181818,303.4273614,0.526949949,152.9565372,67.48876815,0.4412284,169.5363636,1.2,classic
g,7,172.0909091,112.7275073,0.655046266,51.88045529,31.14885468,0.60039671,167.3727273,0.4,classic
g,8,589.7272727,362.2703661,0.61430153,154.6785321,77.93514207,0.503852351,165.5727273,1.1,classic
g,9,625.0909091,317.9932246,0.508715164,164.375497,67.28117886,0.409313919,165.9,0.8,classic
h,1,0,0,NA,0,0,NA,165.5727273,1.4,classic
h,10,0,0,NA,0,0,NA,162.6818182,0.7,classic
h,2,0,0,NA,0,0,NA,163.1090909,0.7,classic
h,3,0,0,NA,0,0,NA,162.9363636,1.2,classic
h,4,0,0,NA,0,0,NA,162.9,2.7,classic
h,5,0,0,NA,0,0,NA,162.8545455,1.4,classic
h,6,0,0,NA,0,0,NA,164.9090909,0.8,classic
h,7,0,0,NA,0,0,NA,166.0363636,0.6,classic
h,8,0,0,NA,0,0,NA,163.5545455,3.4,classic
h,9,0,0,NA,0,0,NA,163.0090909,0.8,classic
a,1,0,0,NA,0,0,NA,0,0,commercial
a,10,0,0,NA,0,0,NA,0,0,commercial
a,2,0,0,NA,0,0,NA,0,0,commercial
a,3,0,0,NA,0,0,NA,0,0,commercial
a,4,0,0,NA,0,0,NA,0,0,commercial
a,5,0,0,NA,0,0,NA,0,0,commercial
a,6,0,0,NA,0,0,NA,0,0,commercial
a,7,0,0,NA,0,0,NA,0,0,commercial
a,8,0,0,NA,0,0,NA,0,0,commercial
a,9,0,0,NA,0,0,NA,0,0,commercial
b,1,0,0,NA,0,0,NA,170.6072727,6.78,commercial
b,10,0,0,NA,0,0,NA,176.7309091,11.96,commercial
b,2,0,0,NA,0,0,NA,165.7972727,11.1,commercial
b,3,0,0,NA,0,0,NA,167.34,11.8,commercial
b,4,0,0,NA,0,0,NA,165.5890909,8.86,commercial
b,5,0,0,NA,0,0,NA,169.0936364,15.37,commercial
b,6,0,0,NA,0,0,NA,174.3936364,9.57,commercial
b,7,0,0,NA,0,0,NA,173.3681818,17.29,commercial
b,8,0,0,NA,0,0,NA,176.63,8.23,commercial
b,9,0,0,NA,0,0,NA,176.46,17.08,commercial
c,1,0,0,NA,0,0,NA,0,0,commercial
c,10,0,0,NA,0,0,NA,0,0,commercial
c,2,0,0,NA,0,0,NA,0,0,commercial
c,3,0,0,NA,0,0,NA,0,0,commercial
c,4,0,0,NA,0,0,NA,0,0,commercial
c,5,0,0,NA,0,0,NA,0,0,commercial
c,6,0,0,NA,0,0,NA,0,0,commercial
c,7,0,0,NA,0,0,NA,0,0,commercial
c,8,0,0,NA,0,0,NA,0,0,commercial
c,9,0,0,NA,0,0,NA,0,0,commercial
d,1,0,0,NA,0,0,NA,0,0,commercial
d,10,0,0,NA,0,0,NA,0,0,commercial
d,2,0,0,NA,0,0,NA,0,0,commercial
d,3,0,0,NA,0,0,NA,0,0,commercial
d,4,0,0,NA,0,0,NA,0,0,commercial
d,5,0,0,NA,0,0,NA,0,0,commercial
d,6,0,0,NA,0,0,NA,0,0,commercial
d,7,0,0,NA,0,0,NA,0,0,commercial
d,8,0,0,NA,0,0,NA,0,0,commercial
d,9,0,0,NA,0,0,NA,0,0,commercial
e,1,0,0,NA,0,0,NA,170.5554545,10.86,commercial
e,10,0,0,NA,0,0,NA,167.2081818,9.13,commercial
e,2,0,0,NA,0,0,NA,168.5518182,10.46,commercial
e,3,0,0,NA,0,0,NA,168.5309091,12.07,commercial
e,4,0,0,NA,0,0,NA,169.7254545,8.74,commercial
e,5,0,0,NA,0,0,NA,167.3363636,20.99,commercial
e,6,0,0,NA,0,0,NA,171.1963636,11.43,commercial
e,7,0,0,NA,0,0,NA,165.5336364,15.21,commercial
e,8,0,0,NA,0,0,NA,167.2972727,9.25,commercial
e,9,0,0,NA,0,0,NA,166.2509091,19.12,commercial
f,1,0,0,NA,0,0,NA,0,0,commercial
f,10,0,0,NA,0,0,NA,0,0,commercial
f,2,0,0,NA,0,0,NA,0,0,commercial
f,3,0,0,NA,0,0,NA,0,0,commercial
f,4,0,0,NA,0,0,NA,0,0,commercial
f,5,0,0,NA,0,0,NA,0,0,commercial
f,6,0,0,NA,0,0,NA,0,0,commercial
f,7,0,0,NA,0,0,NA,0,0,commercial
f,8,0,0,NA,0,0,NA,0,0,commercial
f,9,0,0,NA,0,0,NA,0,0,commercial
g,1,557.9090909,144.1960156,0.258457906,266.6139372,50.72182051,0.190244445,169.29,11.87,commercial
g,10,570.6363636,187.3239295,0.328271981,270.033001,65.72103818,0.243381505,160.1290909,5.44,commercial
g,2,401.5454545,115.2921191,0.287120967,203.3171774,45.17829784,0.222206006,163.1572727,13.93,commercial
g,3,492.8181818,161.9677858,0.328656271,239.8705771,61.38676613,0.255916198,161.46,9.42,commercial
g,4,436.6363636,71.56573583,0.163902372,219.4367654,28.05468345,0.127848601,158.8372727,4.98,commercial
g,5,492.3636364,126.0478264,0.256005556,241.0371891,47.42105341,0.196737498,157.6672727,11.09,commercial
g,6,464.9090909,119.3268239,0.256667005,229.9155972,46.6426161,0.202868429,159.9990909,12.27,commercial
g,7,476.9090909,107.9476304,0.226348443,235.2136842,41.84406589,0.177898093,165.5554545,9.85,commercial
g,8,610.5454545,296.2398905,0.4852053,280.6797688,98.66161306,0.351509528,161.0690909,10.29,commercial
g,9,432.0909091,93.6786577,0.216803121,216.9643079,37.33020044,0.172056873,160.5709091,15.88,commercial
h,1,0,0,NA,0,0,NA,0,0,commercial
h,10,0,0,NA,0,0,NA,0,0,commercial
h,2,0,0,NA,0,0,NA,0,0,commercial
h,3,0,0,NA,0,0,NA,0,0,commercial
h,4,0,0,NA,0,0,NA,0,0,commercial
h,5,0,0,NA,0,0,NA,0,0,commercial
h,6,0,0,NA,0,0,NA,0,0,commercial
h,7,0,0,NA,0,0,NA,0,0,commercial
h,8,0,0,NA,0,0,NA,0,0,commercial
h,9,0,0,NA,0,0,NA,0,0,commercial
a,1,0,0,NA,0,0,NA,13.77272727,5.2,mini
a,10,0,0,NA,0,0,NA,13.77272727,5.2,mini
a,2,0,0,NA,0,0,NA,14.29090909,5.2,mini
a,3,0,0,NA,0,0,NA,13.73636364,6.1,mini
a,4,0,0,NA,0,0,NA,13.52727273,5.2,mini
a,5,0,0,NA,0,0,NA,14,5.5,mini
a,6,0,0,NA,0,0,NA,14.59090909,5.8,mini
a,7,0,0,NA,0,0,NA,12.18181818,2.1,mini
a,8,0,0,NA,0,0,NA,13.75454545,5.6,mini
a,9,0,0,NA,0,0,NA,15.30909091,5.6,mini
b,1,0,0,NA,0,0,NA,60.28181818,0.7,mini
b,10,0,0,NA,0,0,NA,61.20909091,0.9,mini
b,2,0,0,NA,0,0,NA,60.80909091,2.2,mini
b,3,0,0,NA,0,0,NA,61.69090909,2.2,mini
b,4,0,0,NA,0,0,NA,61.74545455,1.7,mini
b,5,0,0,NA,0,0,NA,62.26363636,1.1,mini
b,6,0,0,NA,0,0,NA,62.36363636,1.1,mini
b,7,0,0,NA,0,0,NA,62.31818182,1.3,mini
b,8,0,0,NA,0,0,NA,59.56363636,0.8,mini
b,9,0,0,NA,0,0,NA,60.23636364,1,mini
c,1,0,0,NA,0,0,NA,13.43636364,0.3,mini
c,10,0,0,NA,0,0,NA,13.41818182,0.4,mini
c,2,0,0,NA,0,0,NA,13.33636364,0.7,mini
c,3,0,0,NA,0,0,NA,13.37272727,0.6,mini
c,4,0,0,NA,0,0,NA,13.44545455,0.4,mini
c,5,0,0,NA,0,0,NA,13.4,0.2,mini
c,6,0,0,NA,0,0,NA,13.4,0.4,mini
c,7,0,0,NA,0,0,NA,13.39090909,0.6,mini
c,8,0,0,NA,0,0,NA,13.5,1,mini
c,9,0,0,NA,0,0,NA,13.3,0.7,mini
d,1,0,0,NA,0,0,NA,13.43636364,0.4,mini
d,10,0,0,NA,0,0,NA,13.40909091,0.4,mini
d,2,0,0,NA,0,0,NA,13.5,0.4,mini
d,3,0,0,NA,0,0,NA,13.4,0.6,mini
d,4,0,0,NA,0,0,NA,13.43636364,0.3,mini
d,5,0,0,NA,0,0,NA,13.45454545,1,mini
d,6,0,0,NA,0,0,NA,13.46363636,0.7,mini
d,7,0,0,NA,0,0,NA,13.39090909,0.3,mini
d,8,0,0,NA,0,0,NA,13.53636364,0.6,mini
d,9,0,0,NA,0,0,NA,13.53636364,0.6,mini
e,1,0,0,NA,0,0,NA,61.05454545,1.9,mini
e,10,0,0,NA,0,0,NA,60.04545455,1.2,mini
e,2,0,0,NA,0,0,NA,59.86363636,1.3,mini
e,3,0,0,NA,0,0,NA,59.3,1.3,mini
e,4,0,0,NA,0,0,NA,60.87272727,3.4,mini
e,5,0,0,NA,0,0,NA,61.53636364,0.8,mini
e,6,0,0,NA,0,0,NA,61.95454545,1.1,mini
e,7,0,0,NA,0,0,NA,61.9,1.4,mini
e,8,0,0,NA,0,0,NA,61.49090909,1.7,mini
e,9,0,0,NA,0,0,NA,60.87272727,1.3,mini
f,1,0,0,NA,0,0,NA,62.09090909,1.2,mini
f,10,0,0,NA,0,0,NA,62.1,0.6,mini
f,2,0,0,NA,0,0,NA,61.30909091,1.6,mini
f,3,0,0,NA,0,0,NA,60.28181818,2,mini
f,4,0,0,NA,0,0,NA,59.41818182,1.4,mini
f,5,0,0,NA,0,0,NA,58.81818182,1.4,mini
f,6,0,0,NA,0,0,NA,60.65454545,1.2,mini
f,7,0,0,NA,0,0,NA,61.79090909,1.1,mini
f,8,0,0,NA,0,0,NA,61.41818182,1.1,mini
f,9,0,0,NA,0,0,NA,61.93636364,0.9,mini
g,1,114.2727273,82.79382937,0.72452834,49.20854216,36.45909799,0.740909939,56.99090909,33.4,mini
g,10,104.4545455,24.6388459,0.235881031,44.25025907,10.17996599,0.230054382,60.10909091,0.9,mini
g,2,103.2727273,34.12357223,0.330421914,43.79381204,14.2184045,0.324666976,62.32727273,1.3,mini
g,3,82.72727273,19.40149947,0.23452362,34.86271686,7.91583025,0.227057182,62.06363636,0.9,mini
g,4,94.09090909,28.22571362,0.29998343,39.78982277,11.70248137,0.294107401,60.49090909,1.4,mini
g,5,96.09090909,29.2487762,0.304386507,40.65912073,12.19795381,0.300005352,61.4,1,mini
g,6,79.36363636,19.80036731,0.249489164,33.42319966,8.08289007,0.241834718,61.84545455,1,mini
g,7,83.27272727,19.61168483,0.235511499,35.09736285,8.000508439,0.22795184,61.77272727,2.6,mini
g,8,86.90909091,16.92604233,0.194755717,36.64937589,6.940244448,0.189368694,61.79090909,1.5,mini
g,9,92.90909091,32.89515024,0.35405739,39.30986632,13.7636619,0.350132503,62.19090909,0.9,mini
h,1,0,0,NA,0,0,NA,30.89090909,36.3,mini
h,10,0,0,NA,0,0,NA,60.38181818,2.3,mini
h,2,0,0,NA,0,0,NA,61.50909091,2.4,mini
h,3,0,0,NA,0,0,NA,61.37272727,2.8,mini
h,4,0,0,NA,0,0,NA,61.52727273,2,mini
h,5,0,0,NA,0,0,NA,62.43636364,2.6,mini
h,6,0,0,NA,0,0,NA,62.56363636,1.7,mini
h,7,0,0,NA,0,0,NA,35.43636364,33.7,mini
h,8,0,0,NA,0,0,NA,61.81818182,2.6,mini
h,9,0,0,NA,0,0,NA,60.43636364,2.6,mini
a,1,0,0,NA,0,0,NA,12.59090909,4.1,coaxial
a,10,0,0,NA,0,0,NA,13.33636364,5.4,coaxial
a,2,0,0,NA,0,0,NA,12.78181818,5,coaxial
a,3,0,0,NA,0,0,NA,13.21818182,5.6,coaxial
a,4,0,0,NA,0,0,NA,13.25454545,5.4,coaxial
a,5,0,0,NA,0,0,NA,13.3,5.1,coaxial
a,6,0,0,NA,0,0,NA,13.5,5.2,coaxial
a,7,0,0,NA,0,0,NA,13.41818182,5.8,coaxial
a,8,0,0,NA,0,0,NA,12.75454545,4.8,coaxial
a,9,0,0,NA,0,0,NA,13.48181818,5.4,coaxial
b,1,0,0,NA,0,0,NA,65.5,3.2,coaxial
b,10,0,0,NA,0,0,NA,64.8,2.4,coaxial
b,2,0,0,NA,0,0,NA,65.57272727,1.9,coaxial
b,3,0,0,NA,0,0,NA,65.30909091,1.2,coaxial
b,4,0,0,NA,0,0,NA,65.28181818,1.1,coaxial
b,5,0,0,NA,0,0,NA,66.09090909,4.7,coaxial
b,6,0,0,NA,0,0,NA,65.87272727,1.2,coaxial
b,7,0,0,NA,0,0,NA,65.88181818,2.4,coaxial
b,8,0,0,NA,0,0,NA,66.82727273,3.3,coaxial
b,9,0,0,NA,0,0,NA,66.08181818,3.3,coaxial
c,1,0,0,NA,0,0,NA,15.2,0.9,coaxial
c,10,0,0,NA,0,0,NA,15.3,0.9,coaxial
c,2,0,0,NA,0,0,NA,15.28181818,1,coaxial
c,3,0,0,NA,0,0,NA,15.2,0.4,coaxial
c,4,0,0,NA,0,0,NA,15.3,1.4,coaxial
c,5,0,0,NA,0,0,NA,15.2,0.6,coaxial
c,6,0,0,NA,0,0,NA,15.22727273,0.6,coaxial
c,7,0,0,NA,0,0,NA,15.29090909,0.6,coaxial
c,8,0,0,NA,0,0,NA,15.27272727,0.5,coaxial
c,9,0,0,NA,0,0,NA,15.14545455,0.6,coaxial
d,1,0,0,NA,0,0,NA,15.16363636,0.5,coaxial
d,10,0,0,NA,0,0,NA,15.10909091,0.4,coaxial
d,2,0,0,NA,0,0,NA,15.07272727,1.3,coaxial
d,3,0,0,NA,0,0,NA,15.27272727,0.5,coaxial
d,4,0,0,NA,0,0,NA,15.43636364,2.4,coaxial
d,5,0,0,NA,0,0,NA,15.38181818,1.2,coaxial
d,6,0,0,NA,0,0,NA,15.23636364,0.6,coaxial
d,7,0,0,NA,0,0,NA,15.21818182,0.8,coaxial
d,8,0,0,NA,0,0,NA,15.16363636,0.4,coaxial
d,9,0,0,NA,0,0,NA,15.20909091,0.5,coaxial
e,1,0,0,NA,0,0,NA,65.20909091,1,coaxial
e,10,0,0,NA,0,0,NA,65.1,1.4,coaxial
e,2,0,0,NA,0,0,NA,65.20909091,1,coaxial
e,3,0,0,NA,0,0,NA,65.14363636,2.18,coaxial
e,4,0,0,NA,0,0,NA,65.01090909,1.34,coaxial
e,5,0,0,NA,0,0,NA,65.86363636,3.8,coaxial
e,6,0,0,NA,0,0,NA,65.93636364,3.3,coaxial
e,7,0,0,NA,0,0,NA,65.18181818,1.4,coaxial
e,8,0,0,NA,0,0,NA,65.47272727,2.1,coaxial
e,9,0,0,NA,0,0,NA,64.96363636,2,coaxial
f,1,0,0,NA,0,0,NA,65.43636364,4.5,coaxial
f,10,0,0,NA,0,0,NA,65.25454545,1.7,coaxial
f,2,0,0,NA,0,0,NA,65.20909091,1.7,coaxial
f,3,0,0,NA,0,0,NA,65.83636364,2.5,coaxial
f,4,0,0,NA,0,0,NA,65.91818182,4.1,coaxial
f,5,0,0,NA,0,0,NA,65.19090909,2.8,coaxial
f,6,0,0,NA,0,0,NA,66.28181818,1.3,coaxial
f,7,0,0,NA,0,0,NA,66.51818182,2.8,coaxial
f,8,0,0,NA,0,0,NA,66,2,coaxial
f,9,0,0,NA,0,0,NA,65.88181818,2.7,coaxial
g,1,117.0909091,37.56182782,0.320792008,425.6670586,93.20807453,0.218969433,65.31818182,1.7,coaxial
g,10,194.5454545,59.85209042,0.307650932,608.0860134,123.3885456,0.202912981,65.61818182,1.6,coaxial
g,2,165,100.1239232,0.606811656,526.301211,203.0882416,0.385878348,65.46363636,4.5,coaxial
g,3,133.1818182,31.4446122,0.23610289,469.8826337,75.17568181,0.159988211,65.86363636,5.8,coaxial
g,4,216.0909091,206.3697917,0.95501376,613.4976099,302.3127881,0.492769301,65.03636364,1.8,coaxial
g,5,147.4545455,54.26852428,0.368035615,500.5047597,117.3532036,0.234469705,65.04545455,1.2,coaxial
g,6,156.4545455,34.33762845,0.219473511,526.8358245,78.51005916,0.149021869,66.5,1.6,coaxial
g,7,214.1818182,43.99958677,0.205431008,653.7277467,86.48293981,0.132291983,65.61818182,2,coaxial
g,8,163.9090909,31.12701253,0.189904125,545.1003934,70.13413884,0.128662793,65.11818182,2,coaxial
g,9,222.3636364,35.44650258,0.15940782,671.9323485,68.01767228,0.101226965,65.15454545,3.3,coaxial
h,1,0,0,NA,0,0,NA,66.46363636,2.9,coaxial
h,10,0,0,NA,0,0,NA,67.24545455,3.1,coaxial
h,2,0,0,NA,0,0,NA,65.99090909,1.5,coaxial
h,3,0,0,NA,0,0,NA,65.98181818,1.3,coaxial
h,4,0,0,NA,0,0,NA,66.44545455,0.6,coaxial
h,5,0,0,NA,0,0,NA,66.22727273,0.6,coaxial
h,6,0,0,NA,0,0,NA,66.10909091,1.6,coaxial
h,7,0,0,NA,0,0,NA,66.58181818,2.3,coaxial
h,8,0,0,NA,0,0,NA,66.41818182,3,coaxial
h,9,0,0,NA,0,0,NA,67.00909091,1.2,coaxial
